ranking,sknich,pygreg,Arbysguy,PenguinProphet,BlindManBaldwin,ThaddeusJP,Landsdownestreet,TangerineDiesel,milkchococurry,hurricane,morespikes,staub81,yoda133113,famouslastwords,wannaknowmyname,Sexterminator,preludeoflight,nickmangoldsbeard,sosuhme,analogWeapon,allsecretsknown,SPACE_LAWYER,newBreed,One_Half_Hamster,I_have_no_throwaway,ThatChrisDodge,Naly_D,iltat_work,smacksaw,Skarmotastic,philo13181,whirledworld
1,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs
2,Eagles,Eagles,Falcons,Broncos,Packers,Packers,Broncos,Broncos,Packers,Eagles,Broncos,Broncos,Packers,Packers,Eagles,Packers,Packers,Broncos,Packers,Packers,Falcons,Falcons,Packers,Falcons,Packers,Packers,Falcons,Eagles,Eagles,Packers,Falcons,Packers
3,Packers,Broncos,Packers,Packers,Patriots,Falcons,Falcons,Falcons,Falcons,Panthers,Falcons,Falcons,Falcons,Broncos,Broncos,Eagles,Eagles,Falcons,Falcons,Falcons,Packers,Packers,Eagles,Packers,Falcons,Falcons,Packers,Broncos,Packers,Eagles,Packers,Jaguars
4,Falcons,Falcons,Broncos,Falcons,Falcons,Eagles,Packers,Eagles,Patriots,Packers,Patriots,Packers,Eagles,Falcons,Panthers,Panthers,Falcons,Eagles,Eagles,Eagles,Eagles,Broncos,Falcons,Panthers,Patriots,Eagles,Broncos,Falcons,Patriots,Falcons,Broncos,Eagles
5,Broncos,Packers,Patriots,Eagles,Eagles,Broncos,Eagles,Packers,Seahawks,Falcons,Eagles,Eagles,Panthers,Eagles,Lions,Broncos,Broncos,Packers,Patriots,Broncos,Seahawks,Eagles,Panthers,Patriots,Eagles,Panthers,Eagles,Packers,Broncos,Panthers,Eagles,Falcons
6,Patriots,Panthers,Eagles,Panthers,Seahawks,Panthers,Panthers,Panthers,Broncos,Lions,Packers,Lions,Patriots,Patriots,Patriots,Falcons,Panthers,Panthers,Panthers,Lions,Broncos,Panthers,Patriots,Eagles,Broncos,Broncos,Patriots,Patriots,Panthers,Broncos,Patriots,Rams
7,Panthers,Texans,Panthers,Patriots,Panthers,Patriots,Steelers,Lions,Eagles,Bills,Lions,Patriots,Broncos,Panthers,Falcons,Lions,Lions,Lions,Broncos,Patriots,Panthers,Patriots,Broncos,Broncos,Panthers,Lions,Cowboys,Panthers,Falcons,Patriots,Panthers,Saints
8,Lions,Lions,Lions,Lions,Lions,Lions,Lions,Rams,Raiders,Rams,Panthers,Seahawks,Lions,Seahawks,Packers,Jaguars,Patriots,Patriots,Steelers,Bills,Patriots,Lions,Jaguars,Redskins,Seahawks,Rams,Panthers,Lions,Steelers,Lions,Lions,Steelers
9,Cowboys,Bills,Steelers,Seahawks,Jaguars,Seahawks,Seahawks,Bills,Panthers,Patriots,Seahawks,Redskins,Seahawks,Lions,Bills,Seahawks,Steelers,Seahawks,Jaguars,Panthers,Lions,Seahawks,Lions,Bills,Rams,Steelers,Lions,Seahawks,Seahawks,Seahawks,Seahawks,Redskins
10,Steelers,Rams,Vikings,Rams,Bills,Steelers,Patriots,Patriots,Lions,Redskins,Cowboys,Panthers,Redskins,Rams,Cowboys,Patriots,Seahawks,Bills,Lions,Seahawks,Raiders,Steelers,Redskins,Jaguars,Steelers,Bills,Seahawks,Cowboys,Rams,Bills,Bills,Broncos
11,Seahawks,Cowboys,Seahawks,Jaguars,Broncos,Bills,Rams,Steelers,Titans,Broncos,Redskins,Raiders,Jaguars,Texans,Texans,Steelers,Rams,Steelers,Bills,Steelers,Cowboys,Bills,Seahawks,Seahawks,Lions,Seahawks,Bills,Rams,Lions,Rams,Redskins,Texans
12,Redskins,Seahawks,Raiders,Steelers,Steelers,Rams,Bills,Jaguars,Cowboys,Jaguars,Vikings,Rams,Steelers,Buccaneers,Steelers,Bills,Cowboys,Rams,Seahawks,Raiders,Vikings,Rams,Rams,Lions,Saints,Jets,Steelers,Steelers,Jaguars,Steelers,Cowboys,Panthers
13,Rams,Redskins,Jaguars,Vikings,Vikings,Redskins,Jaguars,Seahawks,Ravens,Texans,Jaguars,Cowboys,Rams,Bills,Seahawks,Redskins,Raiders,Cowboys,Rams,Cowboys,Buccaneers,Cowboys,Steelers,Steelers,Redskins,Patriots,Rams,Buccaneers,Redskins,Cowboys,Rams,Patriots
14,Bills,Patriots,Cowboys,Bills,Texans,Cowboys,Ravens,Cowboys,Buccaneers,Saints,Steelers,Steelers,Bills,Vikings,Redskins,Ravens,Bills,Redskins,Raiders,Redskins,Bills,Redskins,Bills,Saints,Bills,Jaguars,Vikings,Bills,Bills,Jaguars,Steelers,Bills
15,Texans,Vikings,Cardinals,Redskins,Redskins,Jaguars,Vikings,Redskins,Vikings,Steelers,Rams,Bills,Vikings,Redskins,Saints,Texans,Texans,Raiders,Texans,Rams,Texans,Jaguars,Ravens,Rams,Cowboys,Vikings,Texans,Redskins,Raiders,Redskins,Buccaneers,Lions
16,Buccaneers,Jaguars,Buccaneers,Bengals,Rams,Vikings,Texans,Buccaneers,Steelers,Seahawks,Bills,Texans,Cowboys,Cowboys,Jaguars,Vikings,Vikings,Texans,Buccaneers,Vikings,Redskins,Raiders,Vikings,Cowboys,Jaguars,Redskins,Redskins,Raiders,Cowboys,Vikings,Vikings,Seahawks
17,Jaguars,Ravens,Rams,Raiders,Ravens,Texans,Jets,Vikings,Jaguars,Cowboys,Bengals,Saints,Buccaneers,Jaguars,Vikings,Saints,Buccaneers,Vikings,Redskins,Jaguars,Rams,Vikings,Raiders,Raiders,Vikings,Ravens,Saints,Vikings,Buccaneers,Raiders,Saints,Cowboys
